Accounting-Control-Number-Numéro-contrôle-comptable,Journal-Voucher-Type-Code-Code-du-type-de-pièce-de-journal,Fiscal-Year-Année-Fiscale,Journal-Voucher-Identifier-Identificateur-de-la-pièce-de-journal,Accounting-Effective-Date-Date-d'entrée-en-vigueur-comptable,DepartmentNumber-Numéro-de-Ministère,Fiscal-Month-Mois-Fiscal,Journal-Voucher-Item-Identifier-Identificateur-de-l'item-de-la-pièce-de-journal,Financial-Coding-Block-Bloc-de-codage-financier,Subleger-Account-Identifier-Compte-du-grand-livre-auxiliaire,Credit/Debit-Code-Code-Crédit/Débit,Journal-Voucher-Item-Amount-Montant-de-l'item-de-la-pièce-de-journal,Control-Data-Type-Type-de-données-de-contrôle,Accounting-Summary-Transaction-Line-Count-Sommaire-comptable-transaction-compte-ligne,GBS-Control-Number-Numéro-de-contrôle-du-SBG,General-Ledger-Account-Code-Code-du-compte-du-grand-livre-général
202313100005,RDBOA,2023/2024,,2023-05-10,097,02,1,,,DR,140388887.70,JND,3,202313000125185,
202313100006,JVLVP,2023/2024,,2023-05-10,097,02,1,,,DR,714872560.26,JML,2,202313000125181,
202313100007,ADEPT,2023/2024,,2023-05-10,014,02,1,,0147008,DR,685.50,COK,1,202313000125174,
202313100008,ADEPT,2023/2024,,2023-05-10,014,02,1,,0147010,DR,578.53,COK,1,202313000125175,
202313100009,ADEPT,2023/2024,,2023-05-10,014,02,1,,0147011,DR,502.31,COK,1,202313000125176,
202313100010,ADEPT,2023/2024,,2023-05-10,014,02,1,,0147025,DR,3471.76,COK,2,202313000125178,
202313100011,ADEPT,2023/2024,,2023-05-10,014,02,1,,0147030,DR,643.47,COK,1,202313000125179,
202313100012,ADEPT,2023/2024,,2023-05-10,122,02,1,,1220581,DR,1079.74,COK,5,202313000125186,
202313100013,ADEPT,2023/2024,,2023-05-10,122,02,1,,1220583,DR,130.28,COK,1,202313000125187,
202313100014,ADEPT,2023/2024,,2023-05-10,122,02,1,,1221491,DR,977.21,COK,3,202313000125188,
202313100015,ADEPT,2023/2024,,2023-05-10,122,02,1,,1221494,DR,1199.51,COK,10,202313000125189,
202313100016,ADEPT,2023/2024,,2023-05-10,122,02,1,,1221500,DR,166.20,COK,2,202313000125190,
202313100017,ADEPT,2023/2024,,2023-05-10,122,02,1,,1221560,DR,66.01,COK,1,202313000125191,
202313100018,ADEPT,2023/2024,,2023-05-10,122,02,1,,1221887,DR,847.04,COK,2,202313000125192,
202313100019,ADEPT,2023/2024,,2023-05-10,122,02,1,,1221953,DR,2000.00,COK,1,202313000125193,
202313100020,ADEPT,2023/2024,,2023-05-10,122,02,1,,1222509,DR,2511.16,COK,3,202313000125194,
